Name RAJ2000 DEJ2000 LDD1 e_LDD1 LDD2 e_LDD2 LDDchi2 dLDD Simbad
"HIP 17907" "03 49 46.494" "+09 24 26.99" 0.118 0.008 0.134365 0.003817 0.55914 -2.0456648 Simbad
"HIP 17959" "03 50 21.509" "+71 19 56.16" 0.424 0.029 0.489897 0.037797 0.40575 -2.2723090 Simbad
"HIP 18033" "03 51 15.871" "+13 02 45.88" 0.138 0.010 0.164478 0.004755 0.88192 -2.6478157 Simbad
"HIP 18067" "03 51 41.777" "+68 30 26.95" 0.123 0.008 0.160746 0.004414 0.94112 -4.7182970 Simbad
"HIP 18141" "03 52 41.654" "-05 21 40.50" 0.179 0.012 0.211091 0.006190 0.13173 -2.6742716 Simbad
"HIP 18190" "03 53 30.228" "+02 07 08.88" 0.117 0.008 0.133266 0.004117 0.43589 -2.0332167 Simbad
"HIP 18213" "03 53 38.946" "-34 43 56.28" 0.190 0.013 0.222860 0.006649 0.06110 -2.5276644 Simbad
"HIP 18396" "03 55 58.174" "+47 52 17.10" 0.178 0.012 0.211238 0.005982 0.99494 -2.7698190 Simbad
"HIP 18788" "04 01 32.050" "-01 32 58.77" 0.165 0.011 0.189081 0.005692 0.03705 -2.1891620 Simbad
"HIP 18912" "04 03 10.857" "+38 03 17.31" 0.072 0.005 0.086886 0.002402 1.07417 -2.9772074 Simbad
"HIP 19049" "04 04 53.392" "-02 25 37.61" 0.105 0.007 0.121160 0.003388 0.53613 -2.3085060 Simbad
"HIP 19172" "04 06 36.639" "+54 00 31.15" 0.799 0.055 0.920651 0.068349 0.94938 -2.2118416 Simbad
"HIP 19343" "04 08 39.691" "+47 42 45.06" 0.547 0.038 0.393786 0.042249 0.10510 4.0319490 Simbad
"HIP 19390" "04 09 11.582" "+78 57 21.09" 0.072 0.005 0.086948 0.002491 0.33085 -2.9895918 Simbad
"HIP 19799" "04 14 36.234" "+10 00 41.06" 0.216 0.015 0.261784 0.007345 1.19243 -3.0522974 Simbad
"HIP 19860" "04 15 32.057" "+08 53 32.48" 0.334 0.023 0.287319 0.025521 0.49933 2.0295875 Simbad
"HIP 19881" "04 15 51.683" "-22 09 05.11" 0.128 0.009 0.148134 0.004504 0.45224 -2.2371197 Simbad
"HIP 19898" "04 16 05.959" "-39 37 11.76" 0.066 0.005 0.076855 0.002422 0.40308 -2.1710277 Simbad
"HIP 19968" "04 16 53.556" "+61 50 59.96" 0.141 0.010 0.173902 0.005300 0.46484 -3.2902360 Simbad
"HIP 20063" "04 18 08.111" "+42 08 28.17" 0.140 0.010 0.166784 0.005016 0.84382 -2.6784034 Simbad
"HIP 20271" "04 20 42.834" "-07 35 32.97" 0.142 0.010 0.170035 0.005625 0.20104 -2.8034568 Simbad
"HIP 20348" "04 21 31.398" "+60 47 33.62" 0.064 0.004 0.075160 0.002093 0.90113 -2.7901027 Simbad
"HIP 20354" "04 21 33.167" "+46 29 55.97" 0.288 0.020 0.241361 0.018999 0.31307 2.3319542 Simbad
"HIP 20543" "04 24 06.903" "-57 15 11.38" 0.104 0.007 0.080457 0.002980 0.24148 3.3632920 Simbad
"HIP 20579" "04 24 29.156" "+34 07 50.73" 0.172 0.012 0.205868 0.005741 0.77531 -2.8223605 Simbad
"HIP 20582" "04 24 30.816" "-44 01 14.20" 0.064 0.004 0.072105 0.002001 0.64728 -2.0263212 Simbad
"HIP 20635" "04 25 22.166" "+22 17 37.94" 0.466 0.032 0.562295 0.087543 0.00580 -3.0092120 Simbad
"HIP 20784" "04 27 06.447" "-62 47 58.64" 0.118 0.008 0.134407 0.003822 0.25514 -2.0508616 Simbad
"HIP 20789" "04 27 17.448" "+22 59 46.79" 0.170 0.012 0.204034 0.005658 0.71815 -2.8361678 Simbad
"HIP 21038" "04 30 38.408" "+32 27 27.97" 0.155 0.011 0.181810 0.004937 1.33052 -2.4373002 Simbad
"HIP 21177" "04 32 24.474" "+00 58 48.47" 0.084 0.006 0.099173 0.003027 0.45156 -2.5287569 Simbad
"HIP 21258" "04 33 38.486" "-08 15 20.39" 0.119 0.008 0.139538 0.003885 0.50103 -2.5672035 Simbad
"HIP 21316" "04 34 35.117" "-02 04 57.88" 0.063 0.004 0.074212 0.002052 0.61238 -2.8029046 Simbad
"HIP 21382" "04 35 21.126" "-08 17 30.07" 0.079 0.005 0.093913 0.002750 0.83158 -2.9826806 Simbad
"HIP 21452" "04 36 24.197" "+64 15 41.77" 0.178 0.012 0.219040 0.005971 1.43857 -3.4200115 Simbad
"HIP 21484" "04 36 50.068" "-08 27 37.72" 0.099 0.007 0.115732 0.003222 0.83212 -2.3903515 Simbad
"HIP 21486" "04 36 50.931" "-30 43 00.40" 0.130 0.009 0.178977 0.004911 0.91411 -5.4418630 Simbad
"HIP 21515" "04 37 13.674" "+00 59 53.93" 0.175 0.012 0.224645 0.006287 0.43469 -4.1370810 Simbad
"HIP 21589" "04 38 09.463" "+12 30 39.01" 0.469 0.032 0.552286 0.061887 0.01663 -2.6026878 Simbad
"HIP 21640" "04 38 52.520" "-08 13 29.45" 0.094 0.006 0.107636 0.003141 0.45492 -2.2726767 Simbad
"HIP 21735" "04 40 03.418" "+12 11 51.38" 0.181 0.012 0.219027 0.006008 0.78120 -3.1689580 Simbad
"HIP 21819" "04 41 19.760" "+28 36 53.98" 0.199 0.014 0.242670 0.006537 0.78765 -3.1192813 Simbad
"HIP 21949" "04 43 03.963" "-70 55 51.70" 0.160 0.011 0.202730 0.005674 0.73887 -3.8845797 Simbad
"HIP 21974" "04 43 23.651" "+71 11 38.22" 0.077 0.005 0.090690 0.002099 4.34273 -2.7380960 Simbad
"HIP 22093" "04 45 14.540" "+79 39 24.92" 0.134 0.009 0.154027 0.004259 1.03985 -2.2252634 Simbad
"HIP 22114" "04 45 34.979" "-42 33 15.46" 0.093 0.006 0.106460 0.003220 0.69819 -2.2433300 Simbad
"HIP 22304" "04 48 13.836" "-09 30 24.13" 0.078 0.005 0.097138 0.002965 0.14716 -3.8276093 Simbad
"HIP 22367" "04 48 56.254" "+03 41 22.94" 0.112 0.008 0.129284 0.003630 0.29708 -2.1605005 Simbad
"HIP 22476" "04 50 10.044" "+63 37 31.49" 0.115 0.008 0.135955 0.003686 0.87132 -2.6193530 Simbad
"HIP 22590" "04 51 40.567" "-08 24 04.67" 0.098 0.007 0.114118 0.003477 0.21228 -2.3026125 Simbad
"HIP 22669" "04 52 34.862" "-10 29 19.21" 0.070 0.005 0.081530 0.002288 0.16237 -2.3059638 Simbad
